Үзүүлэлт,Станцын байршил,Сар,value
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2015-05,0.009
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2015-04,0.009
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2015-03,0.012
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2015-02,0.022
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2015-01,0.031
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2014-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2013-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2012-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2011-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2010-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2009-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2008-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2007-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2006-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2005-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2004-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2003-01,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-12,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-11,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-10,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-09,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-08,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-07,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-06,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-05,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-04,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-03,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-02,
Хүхэрлэг хий SO₂: Дундаж,Нисэх,2002-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-08,0.005
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-07,0.002
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-06,0.004
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-05,0.01
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-04,0.012
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-03,0.027
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-02,0.059
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2026-01,0.094
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-10,0.058
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-09,0.023
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-08,0.008
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-07,0.005
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-06,0.012
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-05,0.02
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-04,0.036
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-03,0.05
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-02,0.126
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2025-01,0.29
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-12,0.311
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-11,0.142
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-10,0.133
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-09,0.016
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-08,0.006
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-07,0.007
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-06,0.019
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-05,0.024
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-04,0.041
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-03,0.105
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-02,0.155
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2024-01,0.168
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-12,0.128
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-11,0.056
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-10,0.016
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-09,0.006
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-07,0.013
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-06,0.012
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-05,0.031
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-04,0.061
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-03,0.117
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-02,0.24
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2023-01,0.371
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-12,0.281
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-11,0.176
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-10,0.092
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-09,0.02
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-08,0.007
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-06,0.01
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-05,0.017
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2022-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2021-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-04,0.044
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-03,0.051
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-02,0.121
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2020-01,0.301
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-08,0.015
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-06,0.017
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-05,0.015
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-04,0.023
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-03,0.036
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-02,0.089
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2019-01,0.124
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-12,0.104
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-11,0.053
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-10,0.025
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-09,0.006
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-08,0.003
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-07,0.001
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-06,0.002
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2018-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-11,0.055
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-10,0.025
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-09,0.011
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-08,0.01
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-07,0.002
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-06,0.006
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-05,0.007
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-04,0.021
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-03,0.035
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-02,0.089
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2017-01,0.124
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-12,0.133
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-11,0.096
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-10,0.031
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-09,0.011
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-08,0.005
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-07,0.008
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-06,0.01
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-05,0.011
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-04,0.016
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-03,0.055
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-02,0.145
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2016-01,0.17
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-12,0.164
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-11,0.1
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-10,0.029
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-09,0.008
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-08,0.009
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-07,0.008
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-06,0.003
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-05,0.013
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-04,0.034
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-03,0.049
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-02,0.059
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2015-01,0.104
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2014-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2013-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2012-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2011-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2010-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2009-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2008-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-09,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-08,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-07,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-06,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-05,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-04,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-03,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-02,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2007-01,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2006-12,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2006-11,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2006-10,
Хүхэрлэг хий SO₂: Дундаж,Толгойт,2006-09,
