Region,Age group,Gender,Year,value
 Darkhan-Uul,45-49, Male,2009,84.0
 Darkhan-Uul,45-49, Female,2025,86.3
 Darkhan-Uul,45-49, Female,2024,81.8
 Darkhan-Uul,45-49, Female,2023,78.9
 Darkhan-Uul,45-49, Female,2022,70.2
 Darkhan-Uul,45-49, Female,2021,77.5
 Darkhan-Uul,45-49, Female,2020,95.4
 Darkhan-Uul,45-49, Female,2019,90.5
 Darkhan-Uul,45-49, Female,2018,69.6
 Darkhan-Uul,45-49, Female,2017,68.8
 Darkhan-Uul,45-49, Female,2016,75.3
 Darkhan-Uul,45-49, Female,2015,80.7
 Darkhan-Uul,45-49, Female,2014,68.2
 Darkhan-Uul,45-49, Female,2013,79.0
 Darkhan-Uul,45-49, Female,2012,65.5
 Darkhan-Uul,45-49, Female,2011,83.4
 Darkhan-Uul,45-49, Female,2010,67.4
 Darkhan-Uul,45-49, Female,2009,82.8
 Darkhan-Uul,50-54,Total,2025,68.8
 Darkhan-Uul,50-54,Total,2024,75.8
 Darkhan-Uul,50-54,Total,2023,76.0
 Darkhan-Uul,50-54,Total,2022,75.4
 Darkhan-Uul,50-54,Total,2021,68.6
 Darkhan-Uul,50-54,Total,2020,66.0
 Darkhan-Uul,50-54,Total,2019,68.6
 Darkhan-Uul,50-54,Total,2018,69.0
 Darkhan-Uul,50-54,Total,2017,72.4
 Darkhan-Uul,50-54,Total,2016,62.2
 Darkhan-Uul,50-54,Total,2015,66.3
 Darkhan-Uul,50-54,Total,2014,68.6
 Darkhan-Uul,50-54,Total,2013,69.3
 Darkhan-Uul,50-54,Total,2012,70.7
 Darkhan-Uul,50-54,Total,2011,73.5
 Darkhan-Uul,50-54,Total,2010,65.6
 Darkhan-Uul,50-54,Total,2009,52.7
 Darkhan-Uul,50-54, Male,2025,66.5
 Darkhan-Uul,50-54, Male,2024,84.2
 Darkhan-Uul,50-54, Male,2023,82.0
 Darkhan-Uul,50-54, Male,2022,76.1
 Darkhan-Uul,50-54, Male,2021,75.0
 Darkhan-Uul,50-54, Male,2020,71.2
 Darkhan-Uul,50-54, Male,2019,76.6
 Darkhan-Uul,50-54, Male,2018,82.5
 Darkhan-Uul,50-54, Male,2017,79.7
 Darkhan-Uul,50-54, Male,2016,68.9
 Darkhan-Uul,50-54, Male,2015,76.2
 Darkhan-Uul,50-54, Male,2014,65.2
 Darkhan-Uul,50-54, Male,2013,77.4
 Darkhan-Uul,50-54, Male,2012,77.3
 Darkhan-Uul,50-54, Male,2011,82.0
 Darkhan-Uul,50-54, Male,2010,75.4
 Darkhan-Uul,50-54, Male,2009,67.7
 Darkhan-Uul,50-54, Female,2025,70.9
 Darkhan-Uul,50-54, Female,2024,69.2
 Darkhan-Uul,50-54, Female,2023,70.7
 Darkhan-Uul,50-54, Female,2022,75.0
 Darkhan-Uul,50-54, Female,2021,63.2
 Darkhan-Uul,50-54, Female,2020,62.6
 Darkhan-Uul,50-54, Female,2019,62.7
 Darkhan-Uul,50-54, Female,2018,57.9
 Darkhan-Uul,50-54, Female,2017,66.8
 Darkhan-Uul,50-54, Female,2016,57.3
 Darkhan-Uul,50-54, Female,2015,58.2
 Darkhan-Uul,50-54, Female,2014,71.3
 Darkhan-Uul,50-54, Female,2013,65.3
 Darkhan-Uul,50-54, Female,2012,64.4
 Darkhan-Uul,50-54, Female,2011,66.0
 Darkhan-Uul,50-54, Female,2010,55.5
 Darkhan-Uul,50-54, Female,2009,41.7
 Darkhan-Uul,55-59,Total,2025,51.1
 Darkhan-Uul,55-59,Total,2024,32.5
 Darkhan-Uul,55-59,Total,2023,36.1
 Darkhan-Uul,55-59,Total,2022,47.3
 Darkhan-Uul,55-59,Total,2021,27.4
 Darkhan-Uul,55-59,Total,2020,29.4
 Darkhan-Uul,55-59,Total,2019,41.8
 Darkhan-Uul,55-59,Total,2018,33.5
 Darkhan-Uul,55-59,Total,2017,50.6
 Darkhan-Uul,55-59,Total,2016,40.8
 Darkhan-Uul,55-59,Total,2015,51.7
 Darkhan-Uul,55-59,Total,2014,37.6
 Darkhan-Uul,55-59,Total,2013,30.0
 Darkhan-Uul,55-59,Total,2012,39.0
 Darkhan-Uul,55-59,Total,2011,43.3
 Darkhan-Uul,55-59,Total,2010,45.0
 Darkhan-Uul,55-59,Total,2009,44.0
 Darkhan-Uul,55-59, Male,2025,53.7
 Darkhan-Uul,55-59, Male,2024,30.4
 Darkhan-Uul,55-59, Male,2023,58.2
 Darkhan-Uul,55-59, Male,2022,73.6
 Darkhan-Uul,55-59, Male,2021,45.4
 Darkhan-Uul,55-59, Male,2020,32.4
 Darkhan-Uul,55-59, Male,2019,61.7
 Darkhan-Uul,55-59, Male,2018,51.3
 Darkhan-Uul,55-59, Male,2017,53.4
 Darkhan-Uul,55-59, Male,2016,53.1
 Darkhan-Uul,55-59, Male,2015,69.1
 Darkhan-Uul,55-59, Male,2014,49.6
 Darkhan-Uul,55-59, Male,2013,41.0
 Darkhan-Uul,55-59, Male,2012,51.3
 Darkhan-Uul,55-59, Male,2011,76.7
 Darkhan-Uul,55-59, Male,2010,58.2
 Darkhan-Uul,55-59, Male,2009,47.9
 Darkhan-Uul,55-59, Female,2025,48.2
 Darkhan-Uul,55-59, Female,2024,33.8
 Darkhan-Uul,55-59, Female,2023,22.1
 Darkhan-Uul,55-59, Female,2022,27.4
 Darkhan-Uul,55-59, Female,2021,16.7
 Darkhan-Uul,55-59, Female,2020,25.9
 Darkhan-Uul,55-59, Female,2019,24.8
 Darkhan-Uul,55-59, Female,2018,22.6
 Darkhan-Uul,55-59, Female,2017,48.2
 Darkhan-Uul,55-59, Female,2016,30.2
 Darkhan-Uul,55-59, Female,2015,23.7
 Darkhan-Uul,55-59, Female,2014,27.9
 Darkhan-Uul,55-59, Female,2013,23.9
 Darkhan-Uul,55-59, Female,2012,29.4
 Darkhan-Uul,55-59, Female,2011,25.1
 Darkhan-Uul,55-59, Female,2010,33.6
 Darkhan-Uul,55-59, Female,2009,40.7
 Darkhan-Uul,60-64,Total,2025,8.7
 Darkhan-Uul,60-64,Total,2024,13.6
 Darkhan-Uul,60-64,Total,2023,13.0
 Darkhan-Uul,60-64,Total,2022,6.7
 Darkhan-Uul,60-64,Total,2021,5.6
 Darkhan-Uul,60-64,Total,2020,7.0
 Darkhan-Uul,60-64,Total,2019,30.5
 Darkhan-Uul,60-64,Total,2018,2.0
 Darkhan-Uul,60-64,Total,2017,36.9
 Darkhan-Uul,60-64,Total,2016,31.9
 Darkhan-Uul,60-64,Total,2015,5.2
 Darkhan-Uul,60-64,Total,2014,13.3
 Darkhan-Uul,60-64,Total,2013,25.7
 Darkhan-Uul,60-64,Total,2012,21.2
 Darkhan-Uul,60-64,Total,2011,18.5
 Darkhan-Uul,60-64,Total,2010,19.3
 Darkhan-Uul,60-64,Total,2009,13.9
 Darkhan-Uul,60-64, Male,2025,9.4
 Darkhan-Uul,60-64, Male,2024,8.0
 Darkhan-Uul,60-64, Male,2023,9.8
 Darkhan-Uul,60-64, Male,2022,10.2
 Darkhan-Uul,60-64, Male,2021,1.1
 Darkhan-Uul,60-64, Male,2020,8.0
 Darkhan-Uul,60-64, Male,2019,23.9
 Darkhan-Uul,60-64, Male,2018,6.7
 Darkhan-Uul,60-64, Male,2017,46.9
 Darkhan-Uul,60-64, Male,2016,35.7
 Darkhan-Uul,60-64, Male,2015,12.0
 Darkhan-Uul,60-64, Male,2014,14.4
 Darkhan-Uul,60-64, Male,2013,28.3
 Darkhan-Uul,60-64, Male,2012,28.2
 Darkhan-Uul,60-64, Male,2011,28.3
 Darkhan-Uul,60-64, Male,2010,25.3
 Darkhan-Uul,60-64, Male,2009,22.7
 Darkhan-Uul,60-64, Female,2025,8.3
 Darkhan-Uul,60-64, Female,2024,18.3
 Darkhan-Uul,60-64, Female,2023,14.9
 Darkhan-Uul,60-64, Female,2022,3.7
 Darkhan-Uul,60-64, Female,2021,10.0
 Darkhan-Uul,60-64, Female,2020,6.4
 Darkhan-Uul,60-64, Female,2019,33.8
 Darkhan-Uul,60-64, Female,2018,0.0
 Darkhan-Uul,60-64, Female,2017,30.6
 Darkhan-Uul,60-64, Female,2016,28.4
 Darkhan-Uul,60-64, Female,2015,0.0
 Darkhan-Uul,60-64, Female,2014,12.4
 Darkhan-Uul,60-64, Female,2013,21.9
 Darkhan-Uul,60-64, Female,2012,17.9
 Darkhan-Uul,60-64, Female,2011,11.0
 Darkhan-Uul,60-64, Female,2010,12.5
 Darkhan-Uul,60-64, Female,2009,0.0
 Darkhan-Uul,65-69,Total,2025,1.3
 Darkhan-Uul,65-69,Total,2024,20.1
 Darkhan-Uul,65-69,Total,2023,5.7
 Darkhan-Uul,65-69,Total,2022,6.6
 Darkhan-Uul,65-69,Total,2021,8.2
 Darkhan-Uul,65-69,Total,2020,4.2
 Darkhan-Uul,65-69,Total,2019,6.6
 Darkhan-Uul,65-69,Total,2018,0.0
 Darkhan-Uul,65-69,Total,2017,5.4
 Darkhan-Uul,65-69,Total,2016,11.8
 Darkhan-Uul,65-69,Total,2015,5.3
 Darkhan-Uul,65-69,Total,2014,11.8
 Darkhan-Uul,65-69,Total,2013,7.1
 Darkhan-Uul,65-69,Total,2012,3.4
 Darkhan-Uul,65-69,Total,2011,8.0
 Darkhan-Uul,65-69,Total,2010,6.3
 Darkhan-Uul,65-69,Total,2009,9.1
 Darkhan-Uul,65-69, Male,2025,0.0
 Darkhan-Uul,65-69, Male,2024,5.0
 Darkhan-Uul,65-69, Male,2023,0.0
 Darkhan-Uul,65-69, Male,2022,6.2
 Darkhan-Uul,65-69, Male,2021,9.3
 Darkhan-Uul,65-69, Male,2020,9.8
 Darkhan-Uul,65-69, Male,2019,15.0
 Darkhan-Uul,65-69, Male,2018,0.0
 Darkhan-Uul,65-69, Male,2017,0.0
 Darkhan-Uul,65-69, Male,2016,17.4
 Darkhan-Uul,65-69, Male,2015,0.0
 Darkhan-Uul,65-69, Male,2014,7.6
 Darkhan-Uul,65-69, Male,2013,10.8
 Darkhan-Uul,65-69, Male,2012,12.5
 Darkhan-Uul,65-69, Male,2011,9.3
 Darkhan-Uul,65-69, Male,2010,14.0
 Darkhan-Uul,65-69, Male,2009,25.4
 Darkhan-Uul,65-69, Female,2025,1.9
 Darkhan-Uul,65-69, Female,2024,26.6
 Darkhan-Uul,65-69, Female,2023,10.1
 Darkhan-Uul,65-69, Female,2022,6.9
 Darkhan-Uul,65-69, Female,2021,7.3
 Darkhan-Uul,65-69, Female,2020,0.0
 Darkhan-Uul,65-69, Female,2019,2.6
 Darkhan-Uul,65-69, Female,2018,0.0
 Darkhan-Uul,65-69, Female,2017,10.4
 Darkhan-Uul,65-69, Female,2016,7.4
 Darkhan-Uul,65-69, Female,2015,11.4
 Darkhan-Uul,65-69, Female,2014,14.5
 Darkhan-Uul,65-69, Female,2013,0.0
 Darkhan-Uul,65-69, Female,2012,0.0
 Darkhan-Uul,65-69, Female,2011,7.1
 Darkhan-Uul,65-69, Female,2010,0.0
 Darkhan-Uul,65-69, Female,2009,0.0
 Darkhan-Uul,70+,Total,2025,0.0
 Darkhan-Uul,70+,Total,2024,5.6
 Darkhan-Uul,70+,Total,2023,3.3
 Darkhan-Uul,70+,Total,2022,2.5
 Darkhan-Uul,70+,Total,2021,3.0
 Darkhan-Uul,70+,Total,2020,1.4
 Darkhan-Uul,70+,Total,2019,6.5
 Darkhan-Uul,70+,Total,2018,0.0
 Darkhan-Uul,70+,Total,2017,2.6
 Darkhan-Uul,70+,Total,2016,12.6
 Darkhan-Uul,70+,Total,2015,0.0
 Darkhan-Uul,70+,Total,2014,2.6
 Darkhan-Uul,70+,Total,2013,1.9
 Darkhan-Uul,70+,Total,2012,8.8
 Darkhan-Uul,70+,Total,2011,0.0
 Darkhan-Uul,70+,Total,2010,3.9
 Darkhan-Uul,70+,Total,2009,0.0
 Darkhan-Uul,70+, Male,2025,0.0
 Darkhan-Uul,70+, Male,2024,6.6
 Darkhan-Uul,70+, Male,2023,0.0
 Darkhan-Uul,70+, Male,2022,6.5
 Darkhan-Uul,70+, Male,2021,9.1
 Darkhan-Uul,70+, Male,2020,3.3
 Darkhan-Uul,70+, Male,2019,8.6
 Darkhan-Uul,70+, Male,2018,0.0
 Darkhan-Uul,70+, Male,2017,0.0
 Darkhan-Uul,70+, Male,2016,17.0
 Darkhan-Uul,70+, Male,2015,0.0
 Darkhan-Uul,70+, Male,2014,0.0
 Darkhan-Uul,70+, Male,2013,6.3
 Darkhan-Uul,70+, Male,2012,13.3
 Darkhan-Uul,70+, Male,2011,0.0
 Darkhan-Uul,70+, Male,2010,8.8
 Darkhan-Uul,70+, Male,2009,0.0
 Darkhan-Uul,70+, Female,2025,0.0
 Darkhan-Uul,70+, Female,2024,4.8
 Darkhan-Uul,70+, Female,2023,4.7
 Darkhan-Uul,70+, Female,2022,0.0
 Darkhan-Uul,70+, Female,2021,0.0
 Darkhan-Uul,70+, Female,2020,0.0
 Darkhan-Uul,70+, Female,2019,5.2
 Darkhan-Uul,70+, Female,2018,0.0
 Darkhan-Uul,70+, Female,2017,5.5
 Darkhan-Uul,70+, Female,2016,6.1
 Darkhan-Uul,70+, Female,2015,0.0
 Darkhan-Uul,70+, Female,2014,3.4
 Darkhan-Uul,70+, Female,2013,0.0
 Darkhan-Uul,70+, Female,2012,4.4
 Darkhan-Uul,70+, Female,2011,0.0
 Darkhan-Uul,70+, Female,2010,0.0
 Darkhan-Uul,70+, Female,2009,0.0
 Selenge,Total,Total,2025,56.5
 Selenge,Total,Total,2024,51.7
 Selenge,Total,Total,2023,37.2
 Selenge,Total,Total,2022,39.3
 Selenge,Total,Total,2021,45.2
 Selenge,Total,Total,2020,49.4
 Selenge,Total,Total,2019,57.0
 Selenge,Total,Total,2018,64.0
 Selenge,Total,Total,2017,60.3
 Selenge,Total,Total,2016,54.9
 Selenge,Total,Total,2015,50.8
 Selenge,Total,Total,2014,54.1
 Selenge,Total,Total,2013,63.8
 Selenge,Total,Total,2012,65.3
 Selenge,Total,Total,2011,72.3
 Selenge,Total,Total,2010,70.5
 Selenge,Total,Total,2009,68.1
 Selenge,Total, Male,2025,64.8
 Selenge,Total, Male,2024,59.0
 Selenge,Total, Male,2023,42.7
 Selenge,Total, Male,2022,40.5
 Selenge,Total, Male,2021,49.5
 Selenge,Total, Male,2020,54.3
 Selenge,Total, Male,2019,64.4
 Selenge,Total, Male,2018,71.3
 Selenge,Total, Male,2017,65.8
 Selenge,Total, Male,2016,58.4
 Selenge,Total, Male,2015,56.4
 Selenge,Total, Male,2014,59.2
 Selenge,Total, Male,2013,68.9
 Selenge,Total, Male,2012,72.2
 Selenge,Total, Male,2011,76.8
 Selenge,Total, Male,2010,75.9
 Selenge,Total, Male,2009,71.1
 Selenge,Total, Female,2025,47.9
 Selenge,Total, Female,2024,44.8
 Selenge,Total, Female,2023,31.6
 Selenge,Total, Female,2022,38.2
 Selenge,Total, Female,2021,41.2
 Selenge,Total, Female,2020,44.8
 Selenge,Total, Female,2019,49.9
 Selenge,Total, Female,2018,57.2
 Selenge,Total, Female,2017,54.9
 Selenge,Total, Female,2016,51.4
 Selenge,Total, Female,2015,45.2
 Selenge,Total, Female,2014,48.7
 Selenge,Total, Female,2013,58.8
 Selenge,Total, Female,2012,58.9
 Selenge,Total, Female,2011,67.6
 Selenge,Total, Female,2010,65.3
 Selenge,Total, Female,2009,65.0
 Selenge,15-19,Total,2025,3.7
 Selenge,15-19,Total,2024,4.7
 Selenge,15-19,Total,2023,6.9
 Selenge,15-19,Total,2022,4.0
 Selenge,15-19,Total,2021,1.4
 Selenge,15-19,Total,2020,4.1
 Selenge,15-19,Total,2019,7.2
 Selenge,15-19,Total,2018,8.3
 Selenge,15-19,Total,2017,5.8
 Selenge,15-19,Total,2016,6.6
 Selenge,15-19,Total,2015,6.6
 Selenge,15-19,Total,2014,5.4
 Selenge,15-19,Total,2013,9.4
 Selenge,15-19,Total,2012,11.6
 Selenge,15-19,Total,2011,21.4
 Selenge,15-19,Total,2010,25.7
 Selenge,15-19,Total,2009,26.1
 Selenge,15-19, Male,2025,5.0
 Selenge,15-19, Male,2024,8.9
 Selenge,15-19, Male,2023,17.2
 Selenge,15-19, Male,2022,6.4
 Selenge,15-19, Male,2021,2.2
 Selenge,15-19, Male,2020,5.1
 Selenge,15-19, Male,2019,11.9
 Selenge,15-19, Male,2018,11.8
 Selenge,15-19, Male,2017,7.0
 Selenge,15-19, Male,2016,7.0
 Selenge,15-19, Male,2015,8.1
 Selenge,15-19, Male,2014,4.9
 Selenge,15-19, Male,2013,12.7
 Selenge,15-19, Male,2012,17.2
 Selenge,15-19, Male,2011,27.2
 Selenge,15-19, Male,2010,31.8
 Selenge,15-19, Male,2009,25.4
 Selenge,15-19, Female,2025,2.9
 Selenge,15-19, Female,2024,0.0
 Selenge,15-19, Female,2023,0.0
 Selenge,15-19, Female,2022,1.2
 Selenge,15-19, Female,2021,0.0
 Selenge,15-19, Female,2020,3.2
 Selenge,15-19, Female,2019,2.6
 Selenge,15-19, Female,2018,5.5
 Selenge,15-19, Female,2017,4.4
 Selenge,15-19, Female,2016,6.1
 Selenge,15-19, Female,2015,5.0
 Selenge,15-19, Female,2014,5.9
 Selenge,15-19, Female,2013,5.4
 Selenge,15-19, Female,2012,7.1
 Selenge,15-19, Female,2011,15.5
 Selenge,15-19, Female,2010,17.2
 Selenge,15-19, Female,2009,26.9
 Selenge,20-24,Total,2025,55.8
 Selenge,20-24,Total,2024,47.0
 Selenge,20-24,Total,2023,42.9
 Selenge,20-24,Total,2022,38.4
 Selenge,20-24,Total,2021,32.0
 Selenge,20-24,Total,2020,44.5
 Selenge,20-24,Total,2019,38.7
 Selenge,20-24,Total,2018,52.2
 Selenge,20-24,Total,2017,46.7
 Selenge,20-24,Total,2016,41.0
 Selenge,20-24,Total,2015,35.6
 Selenge,20-24,Total,2014,51.3
 Selenge,20-24,Total,2013,51.3
 Selenge,20-24,Total,2012,65.5
 Selenge,20-24,Total,2011,71.1
 Selenge,20-24,Total,2010,67.6
 Selenge,20-24,Total,2009,76.2
 Selenge,20-24, Male,2025,66.7
 Selenge,20-24, Male,2024,73.0
 Selenge,20-24, Male,2023,37.7
 Selenge,20-24, Male,2022,41.3
 Selenge,20-24, Male,2021,34.2
 Selenge,20-24, Male,2020,32.9
 Selenge,20-24, Male,2019,42.7
 Selenge,20-24, Male,2018,65.3
 Selenge,20-24, Male,2017,61.5
 Selenge,20-24, Male,2016,44.0
 Selenge,20-24, Male,2015,46.8
 Selenge,20-24, Male,2014,61.6
 Selenge,20-24, Male,2013,65.5
 Selenge,20-24, Male,2012,67.5
 Selenge,20-24, Male,2011,71.4
 Selenge,20-24, Male,2010,75.5
 Selenge,20-24, Male,2009,83.8
 Selenge,20-24, Female,2025,31.8
 Selenge,20-24, Female,2024,15.0
 Selenge,20-24, Female,2023,69.3
 Selenge,20-24, Female,2022,34.2
 Selenge,20-24, Female,2021,30.9
 Selenge,20-24, Female,2020,53.3
 Selenge,20-24, Female,2019,34.5
 Selenge,20-24, Female,2018,33.6
 Selenge,20-24, Female,2017,32.8
 Selenge,20-24, Female,2016,36.9
 Selenge,20-24, Female,2015,24.3
 Selenge,20-24, Female,2014,37.8
 Selenge,20-24, Female,2013,40.7
 Selenge,20-24, Female,2012,62.6
 Selenge,20-24, Female,2011,70.4
 Selenge,20-24, Female,2010,60.1
 Selenge,20-24, Female,2009,64.2
 Selenge,25-29,Total,2025,69.4
 Selenge,25-29,Total,2024,76.1
 Selenge,25-29,Total,2023,36.9
 Selenge,25-29,Total,2022,50.9
 Selenge,25-29,Total,2021,70.5
 Selenge,25-29,Total,2020,71.2
 Selenge,25-29,Total,2019,70.8
 Selenge,25-29,Total,2018,75.6
 Selenge,25-29,Total,2017,70.6
 Selenge,25-29,Total,2016,64.6
 Selenge,25-29,Total,2015,56.5
 Selenge,25-29,Total,2014,69.2
 Selenge,25-29,Total,2013,80.8
 Selenge,25-29,Total,2012,78.4
 Selenge,25-29,Total,2011,83.7
 Selenge,25-29,Total,2010,75.8
 Selenge,25-29,Total,2009,79.3
 Selenge,25-29, Male,2025,87.9
 Selenge,25-29, Male,2024,81.7
 Selenge,25-29, Male,2023,48.8
 Selenge,25-29, Male,2022,40.7
 Selenge,25-29, Male,2021,79.5
 Selenge,25-29, Male,2020,82.6
 Selenge,25-29, Male,2019,82.8
 Selenge,25-29, Male,2018,91.3
 Selenge,25-29, Male,2017,83.0
 Selenge,25-29, Male,2016,76.9
 Selenge,25-29, Male,2015,67.3
 Selenge,25-29, Male,2014,82.4
 Selenge,25-29, Male,2013,83.9
 Selenge,25-29, Male,2012,95.9
 Selenge,25-29, Male,2011,92.4
 Selenge,25-29, Male,2010,90.0
 Selenge,25-29, Male,2009,94.4
 Selenge,25-29, Female,2025,43.8
 Selenge,25-29, Female,2024,73.1
 Selenge,25-29, Female,2023,23.9
 Selenge,25-29, Female,2022,58.3
 Selenge,25-29, Female,2021,62.3
 Selenge,25-29, Female,2020,55.7
 Selenge,25-29, Female,2019,61.2
 Selenge,25-29, Female,2018,59.6
 Selenge,25-29, Female,2017,59.1
 Selenge,25-29, Female,2016,50.5
 Selenge,25-29, Female,2015,47.3
 Selenge,25-29, Female,2014,56.0
 Selenge,25-29, Female,2013,78.0
 Selenge,25-29, Female,2012,65.3
 Selenge,25-29, Female,2011,73.1
 Selenge,25-29, Female,2010,64.0
 Selenge,25-29, Female,2009,61.0
 Selenge,30-34,Total,2025,77.7
 Selenge,30-34,Total,2024,81.0
 Selenge,30-34,Total,2023,41.4
 Selenge,30-34,Total,2022,57.0
 Selenge,30-34,Total,2021,71.3
 Selenge,30-34,Total,2020,73.4
 Selenge,30-34,Total,2019,74.0
 Selenge,30-34,Total,2018,78.7
 Selenge,30-34,Total,2017,82.2
 Selenge,30-34,Total,2016,80.7
 Selenge,30-34,Total,2015,74.6
 Selenge,30-34,Total,2014,74.5
 Selenge,30-34,Total,2013,83.9
 Selenge,30-34,Total,2012,73.4
 Selenge,30-34,Total,2011,82.6
 Selenge,30-34,Total,2010,82.7
 Selenge,30-34,Total,2009,91.9
 Selenge,30-34, Male,2025,90.5
 Selenge,30-34, Male,2024,100.0
 Selenge,30-34, Male,2023,45.5
 Selenge,30-34, Male,2022,59.0
 Selenge,30-34, Male,2021,81.9
 Selenge,30-34, Male,2020,73.8
 Selenge,30-34, Male,2019,89.0
 Selenge,30-34, Male,2018,82.3
 Selenge,30-34, Male,2017,87.5
 Selenge,30-34, Male,2016,85.3
 Selenge,30-34, Male,2015,76.6
 Selenge,30-34, Male,2014,85.1
 Selenge,30-34, Male,2013,91.2
 Selenge,30-34, Male,2012,81.7
 Selenge,30-34, Male,2011,93.8
 Selenge,30-34, Male,2010,95.5
 Selenge,30-34, Male,2009,95.5
 Selenge,30-34, Female,2025,63.0
 Selenge,30-34, Female,2024,67.8
 Selenge,30-34, Female,2023,39.1
 Selenge,30-34, Female,2022,55.2
 Selenge,30-34, Female,2021,63.3
 Selenge,30-34, Female,2020,73.0
 Selenge,30-34, Female,2019,65.3
 Selenge,30-34, Female,2018,74.4
 Selenge,30-34, Female,2017,77.7
 Selenge,30-34, Female,2016,77.0
 Selenge,30-34, Female,2015,72.9
 Selenge,30-34, Female,2014,64.9
 Selenge,30-34, Female,2013,73.6
 Selenge,30-34, Female,2012,64.7
 Selenge,30-34, Female,2011,75.1
 Selenge,30-34, Female,2010,67.5
 Selenge,30-34, Female,2009,88.8
 Selenge,35-39,Total,2025,89.8
 Selenge,35-39,Total,2024,80.5
 Selenge,35-39,Total,2023,54.1
 Selenge,35-39,Total,2022,47.0
 Selenge,35-39,Total,2021,69.7
 Selenge,35-39,Total,2020,66.2
 Selenge,35-39,Total,2019,81.3
 Selenge,35-39,Total,2018,89.3
 Selenge,35-39,Total,2017,86.3
 Selenge,35-39,Total,2016,83.7
 Selenge,35-39,Total,2015,67.9
 Selenge,35-39,Total,2014,79.9
 Selenge,35-39,Total,2013,88.9
 Selenge,35-39,Total,2012,90.8
 Selenge,35-39,Total,2011,88.5
 Selenge,35-39,Total,2010,87.4
 Selenge,35-39,Total,2009,90.8
 Selenge,35-39, Male,2025,94.7
 Selenge,35-39, Male,2024,90.4
 Selenge,35-39, Male,2023,66.4
 Selenge,35-39, Male,2022,51.6
 Selenge,35-39, Male,2021,79.8
 Selenge,35-39, Male,2020,72.6
 Selenge,35-39, Male,2019,85.5
 Selenge,35-39, Male,2018,93.8
 Selenge,35-39, Male,2017,93.1
 Selenge,35-39, Male,2016,86.9
 Selenge,35-39, Male,2015,76.9
 Selenge,35-39, Male,2014,79.3
 Selenge,35-39, Male,2013,91.8
 Selenge,35-39, Male,2012,96.0
 Selenge,35-39, Male,2011,94.3
 Selenge,35-39, Male,2010,90.6
 Selenge,35-39, Male,2009,88.7
 Selenge,35-39, Female,2025,84.7
 Selenge,35-39, Female,2024,69.6
 Selenge,35-39, Female,2023,37.9
 Selenge,35-39, Female,2022,42.7
 Selenge,35-39, Female,2021,61.1
 Selenge,35-39, Female,2020,57.5
 Selenge,35-39, Female,2019,73.8
 Selenge,35-39, Female,2018,85.4
 Selenge,35-39, Female,2017,80.4
 Selenge,35-39, Female,2016,79.8
 Selenge,35-39, Female,2015,58.3
 Selenge,35-39, Female,2014,80.4
 Selenge,35-39, Female,2013,86.2
 Selenge,35-39, Female,2012,85.9
 Selenge,35-39, Female,2011,81.9
 Selenge,35-39, Female,2010,84.8
 Selenge,35-39, Female,2009,93.0
 Selenge,40-44,Total,2025,92.4
 Selenge,40-44,Total,2024,79.4
 Selenge,40-44,Total,2023,45.4
 Selenge,40-44,Total,2022,53.2
 Selenge,40-44,Total,2021,70.1
 Selenge,40-44,Total,2020,63.3
 Selenge,40-44,Total,2019,87.4
 Selenge,40-44,Total,2018,90.1
 Selenge,40-44,Total,2017,87.6
 Selenge,40-44,Total,2016,67.9
 Selenge,40-44,Total,2015,82.7
 Selenge,40-44,Total,2014,78.5
 Selenge,40-44,Total,2013,84.0
 Selenge,40-44,Total,2012,85.9
 Selenge,40-44,Total,2011,93.2
 Selenge,40-44,Total,2010,89.9
 Selenge,40-44,Total,2009,88.3
 Selenge,40-44, Male,2025,94.2
 Selenge,40-44, Male,2024,93.0
 Selenge,40-44, Male,2023,42.5
 Selenge,40-44, Male,2022,59.5
 Selenge,40-44, Male,2021,73.3
 Selenge,40-44, Male,2020,57.3
 Selenge,40-44, Male,2019,93.0
 Selenge,40-44, Male,2018,95.1
 Selenge,40-44, Male,2017,90.4
 Selenge,40-44, Male,2016,74.5
 Selenge,40-44, Male,2015,83.7
 Selenge,40-44, Male,2014,82.5
 Selenge,40-44, Male,2013,94.2
 Selenge,40-44, Male,2012,84.7
 Selenge,40-44, Male,2011,98.3
 Selenge,40-44, Male,2010,91.9
 Selenge,40-44, Male,2009,95.8
 Selenge,40-44, Female,2025,91.0
 Selenge,40-44, Female,2024,66.5
 Selenge,40-44, Female,2023,47.6
 Selenge,40-44, Female,2022,47.1
 Selenge,40-44, Female,2021,62.7
 Selenge,40-44, Female,2020,67.6
 Selenge,40-44, Female,2019,82.7
 Selenge,40-44, Female,2018,85.0
 Selenge,40-44, Female,2017,83.7
 Selenge,40-44, Female,2016,61.5
 Selenge,40-44, Female,2015,81.8
 Selenge,40-44, Female,2014,74.0
 Selenge,40-44, Female,2013,76.7
 Selenge,40-44, Female,2012,87.0
 Selenge,40-44, Female,2011,88.8
 Selenge,40-44, Female,2010,88.1
 Selenge,40-44, Female,2009,83.2
 Selenge,45-49,Total,2025,85.2
 Selenge,45-49,Total,2024,71.3
 Selenge,45-49,Total,2023,51.2
 Selenge,45-49,Total,2022,43.2
 Selenge,45-49,Total,2021,70.4
 Selenge,45-49,Total,2020,77.0
