id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Үүсгэн байгуулсан он,Сургууль,Барилгын дугаар,Хичээлийн байрны дугаар,Ашиглалтад орсон он,Нэр
5129,,,Point,106.739158,47.927857,Ерөнхий боловсролын сургууль,"СХД 1-р хороо, Буман-өлзий хорооллын зүүн талд",2013,123-р сургууль,123,1,2013,123-р сургууль
5130,,,Point,106.696189,47.919807,Ерөнхий боловсролын сургууль,"СХД 22-р хороо, тахилтын зам",2013,122-р сургууль,122,1,2013,122-р сургууль
5131,,,Point,106.646783,48.12213,Ерөнхий боловсролын сургууль,"СХД 21-р хороо, Жаргалант тосгон,",1976,74-р сургууль,С74,1,1976,74-р сургууль
5132,,,Point,106.832735,47.914559,Ерөнхий боловсролын сургууль,"СХД 17-р хороо, 52 дугаар байр",1997/2012,Тольт сургууль,,1,2007,Тольт сургууль
5133,,,Point,106.812723,47.92114,Ерөнхий боловсролын сургууль,"СХД 21-р хороо, 21 худалдааны төвийн хойд талд",1996 - 2001,Онон бүрэн дунд сургууль,,,2013,Онон бүрэн дунд сургууль
5134,,,Point,106.910639,47.91411,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Ёөүлийн гудамж, 1-р сургуулийн замын баруун урд",1975,Өсвөрийн зохион бүтээгчдийн сургууль,,1,1975,Өсвөрийн зохион бүтээгчдийн сургууль
5135,,,Point,107.156159,47.926745,Ерөнхий боловсролын сургууль,"БЗД 20-р хороо, Гачууртын зам, замын урд 84-р байрны урд",1962,85-р сургууль,С85,1,1962,85-р сургууль
5136,,,Point,107.163066,47.810617,Ерөнхий боловсролын сургууль,"БЗД 11-р хороо, “Хонхор” тосгон 64-р байрны урд",1988,88-р сургууль,С88,1,1988,88-р сургууль
5137,,,Point,106.88522,47.917666,Ерөнхий боловсролын сургууль,"БГД 18-р хороо, Монгени сургуулийн хажууд",,Шинэ эхлэл ОУ-ын лаборатори сургууль,,1,,Шинэ эхлэл ОУ-ын лаборатори сургууль
5138,,,Point,107.070489,47.919213,Ерөнхий боловсролын сургууль,"БЗД 28-р хороо, Хужирбуланд төв замын хойно, цэргийн ангийн урд",2013,120-р сургууль,120,1,2013,120-р сургууль
5139,,,Point,106.970584,47.997593,Ерөнхий боловсролын сургууль,"СБД 18-р хороо, Бэлхийн эцэст",2007,71-р сургууль,С71,1,2007,71-р сургууль
5140,,,Point,106.930787,47.938439,Ерөнхий боловсролын сургууль,"БЗД 27-р хороо, Дарь-эхийн гудамж",2007,102-р ахлах сургууль,102,1,2015,102-р ахлах сургууль
5141,,,Point,106.952545,47.924613,Ерөнхий боловсролын сургууль,"БЗД 4-р хороо, Их засаг их сургуултйн хашаан дотор",1999,Их засаг дунд сургууль,,1,,Их засаг дунд сургууль
5142,,,Point,107.077542,47.917555,Ерөнхий боловсролын сургууль,"БЗД 28-р хороо, Хужирбуланд 120-р сургуулийн хажууд 1 давхар 14-792/1",2010,Нан-шен хөвгүүд дунд сургууль,,1,2013,Нан-шен хөвгүүд дунд сургууль
5143,,,Point,106.912471,47.926751,Ерөнхий боловсролын сургууль,"ЧД 6-р хороо,СУИС-ийн баруун хойш 50 метрт Монинжбар ХК-ны ард талд",2003,Атланта сургууль,,1,1956,Атланта сургууль
5144,,,Point,107.166939,47.815728,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, Хүүхдийн хорих 411-р анги",1969,110-р сургууль,110,1,1970,110-р сургууль
5145,,,Point,107.255287,47.781305,Ерөнхий боловсролын сургууль,"НД 1-р хороо, 9б гудамж 478 тоот",2011 - 2006,Хос-уянга сургууль,,1,,Хос-уянга сургууль
5146,,,Point,107.24395,47.770666,Ерөнхий боловсролын сургууль,"НД 2-р хороо,",,Налайх дүүргийн ТТ жишиг дунд сургууль,,1,2014,Налайх дүүргийн ТТ жишиг дунд сургууль
5147,,,Point,107.490748,47.352263,Ерөнхий боловсролын сургууль,"БХД 1-р хороо,",,Хангай ЦС /2-р байр/,,2,2002,Хангай ЦС /2-р байр/
5148,,,Point,106.920713,47.925967,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, МУИС-ын Санхүүгийн сургуулийн хойно",2007 - 2014,Хөгжлийн гүүр дунд сургууль,,,,Хөгжлийн гүүр дунд сургууль
5149,,,Point,106.928004,47.915996,Ерөнхий боловсролын сургууль,"СБД 1-р хороо, 1-р төрөхийн урд",2004,Искра дунд сургууль,,,,Искра дунд сургууль
5150,,,Point,106.92741,47.916067,Ерөнхий боловсролын сургууль,"СБД 1-р хороо,1-р төрөхийн урд",1990,Болор дунд сургууль,,,,Болор дунд сургууль
5151,,,Point,106.555243,47.997555,Ерөнхий боловсролын сургууль,"СХД 21-р хороо, 3,61-ийн гаранмын зүүн талд",2012,121-р сургууль,121,1,2012,121-р сургууль
5152,,,Point,106.837542,47.960024,Ерөнхий боловсролын сургууль,"СХД 9-р хороо,Баянхошууны эцэс",2001,Чандмань сургууль,,1,,Чандмань сургууль
5153,,,Point,106.908421,47.92391,Ерөнхий боловсролын сургууль,"ЧД 4-р хороо, Л.Лааганы гудамж 18/3",2011,Бадмаараг ахлах сургууль,,1,1956,Бадмаараг ахлах сургууль
5154,,,Point,106.852294,47.912193,Ерөнхий боловсролын сургууль,"БГД 20-р хороо, Саппорийн урд",2012 - 2006,Жаргалан дунд сургууль,,1,2012,Жаргалан дунд сургууль
5155,,,Point,106.942455,47.910445,Ерөнхий боловсролын сургууль,"БЗД 25-р хороо, нарантуул захын баруун талд",1968/1991,Улаанбаатар бага сургууль,,1,2012,Улаанбаатар бага сургууль
5156,,,Point,106.937645,47.911146,Ерөнхий боловсролын сургууль,"БЗД 25-р хороо, 47-р байр",2005,Төгсдэлгэрэх сургууль,,,2010,Төгсдэлгэрэх сургууль
5157,,,Point,106.989272,47.921775,Ерөнхий боловсролын сургууль,"БЗД 16-р хороо, БХДС-ийн дэргэд",2011 - 2012,Тэмүүжин өрлөг дунд сургууль,,1,,Тэмүүжин өрлөг дунд сургууль
5158,,,Point,106.923957,47.920664,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, Спорт ордог дотор",1958-2009,"Биеийн тамир, спортын дунд сургууль",,1,1958,"Биеийн тамир, спортын дунд сургууль"
5159,,,Point,106.929339,47.931991,Ерөнхий боловсролын сургууль,"СБД 11-р хороо, 29-р сургуулийн хашаанд",1964 - 1971,116-р сургууль,116,1,1970,116-р сургууль
5160,,,Point,106.918583,47.932466,Ерөнхий боловсролын сургууль,"СБД 11-р хороо, Глобал удирдагч их сургуулийн 5-н давхар",2012 - 2007,Шинэ зууны удирдагч сургууль,,,2014,Шинэ зууны удирдагч сургууль
5161,,,Point,106.882219,47.91364,Ерөнхий боловсролын сургууль,"БГД 4-р хороо, Төмөр замын эмнэлэгийн зүүн талд",2010,Шинэ эрин лаборатори сургууль,,1,2015,Шинэ эрин лаборатори сургууль
5162,,,Point,106.941248,47.94672,Ерөнхий боловсролын сургууль,БЗД 27-р хороо,2016 - 1977,132-р бага сургууль,132,1,2016,132-р бага сургууль
5163,,,Point,106.982441,47.943876,Ерөнхий боловсролын сургууль,"БЗД 19-р хороо, Цайзын 53-р гудамж",2015,136-р бага сургууль,136,1,2016,136-р бага сургууль
5164,,,Point,106.969677,47.94217,Ерөнхий боловсролын сургууль,БЗД 22-р хороо,2015,137-р бага сургууль,137,1,2016,137-р бага сургууль
5165,,,Point,106.742456,47.927733,Ерөнхий боловсролын сургууль,"СХД 1-р хороо, Буман-Өлзий хорооллын зүүн талд",2014,Номын ёс бага сургууль,,1,2012,Номын ёс бага сургууль
5166,,,Point,106.920911,47.934945,Ерөнхий боловсролын сургууль,"СБД 11 хороо, Хангай хотхон",2015,131-р сургууль,131,1,2015,131-р сургууль
5167,,,Point,106.809294,47.960553,Ерөнхий боловсролын сургууль,"СХД 24 хороо, Баруун салаа",2015,124-р сургууль,124,1,2015,124-р сургууль
5168,,,Point,106.857336,47.94548,Ерөнхий боловсролын сургууль,"СХД 11-р хороо, Овоотын 6 дугаар хэсэг",,129-р сургууль,129,1,2016,129-р сургууль
5169,,,Point,106.809125,47.967627,Ерөнхий боловсролын сургууль,"СХД 24 хороо,  Баруун салаа зээлийн 18-26 тоот",2016,134-р сургууль,134,1,2016,134-р сургууль
5170,,,Point,106.900538,47.922299,Ерөнхий боловсролын сургууль,"ЧД 5 хороо, Гэсэр сүмийн хашаанд",1990,112-р сургууль,112,1,,112-р сургууль
5171,,,Point,106.886994,47.951209,Ерөнхий боловсролын сургууль,ЧД 12-р хороо,2016,138-р бага сургууль,138,1,2016,138-р бага сургууль
5172,,,Point,106.92347,47.9024,Ерөнхий боловсролын сургууль,"ХУД 15 хороо, Монголын Үндсэний худалдаа аж үйлдвэрийн танхимын урд",2015,130-р бага сургууль,130,1,2015,130-р бага сургууль
5173,,,Point,106.720962,47.84445,Ерөнхий боловсролын сургууль,"ХУД 10 хороо, Морингийн даваа",2016,135-р бага сургууль,135,1,2016,135-р бага сургууль
5174,,,Point,108.378944,47.791801,Ерөнхий боловсролын сургууль,БНД 4-р хороо,2007,Насан туршийн боловсролын төв,,1,,Насан туршийн боловсролын төв
5175,,,Point,106.903933,47.944794,Ерөнхий боловсролын сургууль,ЧД 12-р хороо булгийн 1,1976,61-р сургууль,61,1,1976,61-р сургууль
5176,,,Point,106.907788,47.92414,Ерөнхий боловсролын сургууль,ЧД 4-р хороо Ж.Самбуугийн гудамж Улаанбаатар эрдэм сургуулийн байр,2002,Тоолол сургууль,,1,,Тоолол сургууль
5177,,,Point,106.904732,47.925034,Ерөнхий боловсролын сургууль,ЧД 5-р хороо 6-р хороолол Их тойруу 59,2011,Тусгал сургууль,,,2007,Тусгал сургууль
5178,,,Point,106.902596,47.917925,Ерөнхий боловсролын сургууль,ЧД 3-р хороо жуулчны гудамж - 53,2002,Олонлог сургууль,,1,2011,Олонлог сургууль
5179,,,Point,106.903506,47.923744,Ерөнхий боловсролын сургууль,ЧД 5-р хороо 6-р хороолол ХНХДС-ийн байр,2017,Оюут сургууль,,1,1981,Оюут сургууль
5180,,,Point,106.903614,47.920761,Ерөнхий боловсролын сургууль,"ЧД 5-р хороо төмөрчний гудамж, 7/1 байр",2017,Олонлог эгзэ сургууль,,1,1980,Олонлог эгзэ сургууль
5181,,,Point,107.246598,47.768233,Ерөнхий боловсролын сургууль,"НД 2-р хороо, Дамдины гудамж Эрдмийн оргил цогцолбор сургууль",2010,Албан бус - Насан туршийн боловсролын төв,,,1970,Албан бус - Насан туршийн боловсролын төв
5182,,,Point,107.429601,47.351288,Ерөнхий боловсролын сургууль,БХД 1-р хороо,1989,Хангай ЦС /1-р байр/,С91,1,1989,Хангай ЦС /1-р байр/
5183,,,Point,106.918466,47.965871,Ерөнхий боловсролын сургууль,"СБД 14-р хороо, 35-р сургуулийн хашаанд",1980,Ажилчин залуучуудын ээлжийн сургууль,,1,1974,Ажилчин залуучуудын ээлжийн сургууль
5184,,,Point,106.924525,47.919194,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, Бага тойруу -14, Улаанбаатар-48",2005,МУБИС-ийн харьяа ЕБСургууль,,1,2000,МУБИС-ийн харьяа ЕБСургууль
5185,,,Point,107.457963,47.989019,Ерөнхий боловсролын сургууль,"НД 6-р хороо, Тэрэлж зочид буудлын баруун зүгт",2008,Эрдмийн оргил ЦС Тэрэлжийн бага сургууль,,1,1981,Эрдмийн оргил ЦС Тэрэлжийн бага сургууль
5186,,,Point,106.924504,47.9279,Ерөнхий боловсролын сургууль,СБД 7-р хороо 17/1-р байр,2017,Дойче шуле сургууль,,1,1993,Дойче шуле сургууль
5187,,,Point,106.908992,47.910824,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Усны гудамж 12/2",2016,Элбэг бага сургууль,,,2006,Элбэг бага сургууль
5188,,,Point,106.907991,47.908671,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Тээвэрчдийн гудамж, Урбанек ХХК байр 300",2017,Бичил ертөнц,,,2002,Бичил ертөнц
5189,,,Point,106.91825,47.930311,Ерөнхий боловсролын сургууль,СБД 10-р хороо Мон-Асиа 7а байр,2017,Путонхуа сургууль,,,,Путонхуа сургууль
5190,,,Point,106.918662,47.928685,Ерөнхий боловсролын сургууль,СБД 6-р хороо Их тойруу-49,2017,ҮБТДС-ийн харьяа ЕБС-ийн ахлах сургууль,,,1979,ҮБТДС-ийн харьяа ЕБС-ийн ахлах сургууль
5191,,,Point,106.92385,47.929891,Ерөнхий боловсролын сургууль,СБД 10 р хороо  48-2,2017,Номын гялбаа сургууль,,,,Номын гялбаа сургууль
5192,,,Point,106.814783,47.917885,Ерөнхий боловсролын сургууль,СХД 19-р хороо 86 дугаар байр,2014,Гэрэлт-Ирээдүй,,1,2014,Гэрэлт-Ирээдүй
5193,,,Point,106.728856,48.017268,Ерөнхий боловсролын сургууль,"СХД 1-р хороо, ОУ Найрамдал зуслангийн байранд",2017,Алтан босго академи,,,1981,Алтан босго академи
5194,,,Point,106.919799,47.881093,Ерөнхий боловсролын сургууль,ХУД 11-р хороо 42,2008,Америк сургууль,,1,2011,Америк сургууль
5195,,,Point,106.935888,47.892146,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, Маршал таунд, 301",2017,Монгол билиг оюун сургууль,,1,2016,Монгол билиг оюун сургууль
5196,,,Point,106.913641,47.896512,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Удирдлагын академийн урд талд 38-р байр",2016,Оргил сургууль,,1,2016,Оргил сургууль
5197,,,Point,106.895353,47.897524,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, Үйлдвэр /17042, Шаравын гудамж 10-1-2",2000,Орхон хасу сургууль,,1,,Орхон хасу сургууль
5198,,,Point,106.926211,47.901401,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Рапид хорооллын зүүн талд",2015,Орчлон сургууль,,1,2015,Орчлон сургууль
5199,,,Point,106.853892,47.879652,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, Их монгол улсын гудамж Time square 505 Б",1999,Сакура сургууль,,1,2018,Сакура сургууль
5200,,,Point,106.890969,47.89741,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, Чингисийн өргөн чөлөө 49/3 Хангай дээд сургуулийн урд",2016,Арвист Хангай сургууль,,1,1987,Арвист Хангай сургууль
5201,,,Point,106.890187,47.901379,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, үйлдвэрчний гудамж 26",2015,Технологийн дээд сургуулийн харьяа ахлах сургууль,,1,2015,Технологийн дээд сургуулийн харьяа ахлах сургууль
5202,,,Point,106.886227,47.900824,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, Бамбууш ХХК-ийн байранд",2016,Шинэ өнөөдөр сургууль,,1,2013,Шинэ өнөөдөр сургууль
5203,,,Point,106.891126,47.897036,Ерөнхий боловсролын сургууль,"ХУД 3-р хороо, Хүнс технологи коллежийн байр",2015,Оном сургууль,,1,,Оном сургууль
5204,,,Point,106.84878,47.879152,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо Яармаг наадамчдын зам Хүннү Моллын баруун хойно, Доктор авто сервис",2017,Солонго эс эф,,,2016,Солонго эс эф
5205,,,Point,106.90385,47.891152,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Туул гол гудамж",2002,Шинэ Зуунбилэг сургууль,,,2014,Шинэ Зуунбилэг сургууль
5206,,,Point,106.869252,47.919927,Ерөнхий боловсролын сургууль,БГД 8-р хороо,,93-р сургууль,,2,,93-р сургууль
5207,,,Point,106.884034,47.921168,Ерөнхий боловсролын сургууль,"БГД 18-р хороо, 88 дүгаар цэцэрлэгийн хашаанд",1999,Насан туршийн боловсролын төв,,1,2008,Насан туршийн боловсролын төв
5208,,,Point,106.890876,47.910872,Ерөнхий боловсролын сургууль,"БГД 3-р хороо, Замчдын гудамж, 65 дүгаар байрны хойд талд",1999,Гэгээрэл сургууль,,1,1999,Гэгээрэл сургууль
5209,,,Point,106.861258,47.914403,Ерөнхий боловсролын сургууль,БГД 5-р хороо,2013,Монгол коосэн технологийн ахлах сургууль,,1,1984,Монгол коосэн технологийн ахлах сургууль
5210,,,Point,106.893833,47.910352,Ерөнхий боловсролын сургууль,"БГД 3-р хороо, Үндсэн хуулийн гудамж,",2011,Монгол од сургууль,,1,2005,Монгол од сургууль
5211,,,Point,106.874252,47.913864,Ерөнхий боловсролын сургууль,"БГД 4-р хороо, 88-р байр",2016,Номт наран сургууль,,,2016,Номт наран сургууль
5212,,,Point,106.879148,47.916888,Ерөнхий боловсролын сургууль,"БГД 2-р хороо, Үндэсний техникийн сургууль, 78/1-р байр, 5 давхарт",2006,Эрдмийн хишиг сургууль,,,2012,Эрдмийн хишиг сургууль
5213,,,Point,106.872024,47.912221,Ерөнхий боловсролын сургууль,"БГД 4-р хороо, Нарны зам 16/4",2015,Сенлизэ сургууль,,1,2015,Сенлизэ сургууль
5214,,,Point,106.874222,47.915411,Ерөнхий боловсролын сургууль,БГД 6-р хороо UB palase урд 45А байр,2016,Төгс билиг сургууль,,,2005,Төгс билиг сургууль
5215,,,Point,106.877239,47.927671,Ерөнхий боловсролын сургууль,"БГД 12-р хороо, Өргөө гудамж 23-р байр",2015,Хүслийн өргөө сургууль,,,,Хүслийн өргөө сургууль
5216,,,Point,106.890623,47.925629,Ерөнхий боловсролын сургууль,"БГД 11-р хороо, Ард аюушийн гудамж, МҮИС-ын баруун талд",2016,Цацраг-Эрдэм сургууль,,,,Цацраг-Эрдэм сургууль
5217,,,Point,106.885331,47.916299,Ерөнхий боловсролын сургууль,"БГД 2-р хороо, Тээврийн дээд сургуулийн зүүн талд Сод оньс төв",2015,Эрдмийн ач сургууль,,,2016,Эрдмийн ач сургууль
5218,,,Point,106.889739,47.916817,Ерөнхий боловсролын сургууль,"БГД 17-р хороо, 7/4",2015,Эхлэл сургууль сургууль,,1,1976,Эхлэл сургууль сургууль
5219,,,Point,106.862756,47.921309,Ерөнхий боловсролын сургууль,"БГД 7-р хороо, Говь сауны урд",2008,Сейнт Поул бага сургууль,,1,2008,Сейнт Поул бага сургууль
5220,,,Point,106.884895,47.926424,Ерөнхий боловсролын сургууль,БГД 11-р хороо,2015,Хүрээ тулга сургууль,,1,,Хүрээ тулга сургууль
5221,,,Point,106.913294,47.877935,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, Тэнгэр рашаан гудамж 79Г",2016,Абсолют элит ахлах сургууль,,,2014,Абсолют элит ахлах сургууль
5222,,,Point,106.900011,47.90378,Ерөнхий боловсролын сургууль,"БГД 3-р хороо, Дунд гол гудамж 30А байр",2005,Соёмбо бага сургууль,,1,2015,Соёмбо бага сургууль
5223,,,Point,106.891196,47.902887,Ерөнхий боловсролын сургууль,"БГД 1-р хороо, Алтай хотхон",2016,Эрдэм Алтай сургууль,,,2010,Эрдэм Алтай сургууль
5224,,,Point,106.883057,47.911843,Ерөнхий боловсролын сургууль,"БГД 1-р хороолол, Эрхэт эрдэм сургуулийн байр",2017,Эрхэт эрдэм сургууль,,1,2017,Эрхэт эрдэм сургууль
5225,,,Point,106.88912,47.916502,Ерөнхий боловсролын сургууль,"БГД 17-р хороо, Модны 2-оос уруудаад, 3 эрдэнэ дээд сургуулийн урд, 5 давхар байр",2017 - 2007,Ёс эрдэм сургууль,,,,Ёс эрдэм сургууль
5226,,,Point,106.898668,47.90678,Ерөнхий боловсролын сургууль,БГД 3-р хороо,2017,Наран нэг сургууль,,1,2015,Наран нэг сургууль
5227,,,Point,106.945408,47.952302,Ерөнхий боловсролын сургууль,БЗД 21-р хороо,1976,127-р сургууль,127,1,2017,127-р сургууль
5228,,,Point,106.950863,47.904529,Ерөнхий боловсролын сургууль,"БЗД 26-р хороо, Дүнжингарав худалдааны төвийн зүүн урд",2017,133-р сургууль,133,1,,133-р сургууль
5229,,,Point,106.950651,47.90439,Ерөнхий боловсролын сургууль,"БЗД 26-р хороо, Дүнжингарав худалдааны төвийн зүүн урд",2017,Монгол тэмүүлэл,,1,,Монгол тэмүүлэл
5230,,,Point,106.938277,47.91656,Ерөнхий боловсролын сургууль,БЗД 15-р хороо,2000,Оюунлаг сургууль,,1,,Оюунлаг сургууль
5231,,,Point,106.941752,47.917446,Ерөнхий боловсролын сургууль,"БЗД 15-р хороо, 6/3-р байр, Оюун ухааны музей",,Оюуны оньс сургууль,,1,1998,Оюуны оньс сургууль
5232,,,Point,106.930873,47.919146,Ерөнхий боловсролын сургууль,БЗД 1-р хороо СЭЗИС-ийн С байр 2 давхарт,2015,Эрхэм баян эрдэм сургууль,,1,,Эрхэм баян эрдэм сургууль
5233,,,Point,106.974906,47.913869,Ерөнхий боловсролын сургууль,"БЗД 13-р хороо, ""Эм Ай Ю"" дээд сургуулийн хашаанд",2012,Итгэл сургууль,,1,,Итгэл сургууль
5234,,,Point,106.948346,47.916928,Ерөнхий боловсролын сургууль,БЗД 14-р хороо,1997,Г.В.Плехановын нэрэмжит сургууль,,1,1967,Г.В.Плехановын нэрэмжит сургууль
5235,,,Point,106.938607,47.911383,Ерөнхий боловсролын сургууль,"БЗД 25-р хороо, 13-р хороолол, Шинэ Монгол технологийн дээд сургууль",,Шинэ Монгол технологийн коллеж,,1,,Шинэ Монгол технологийн коллеж
5236,,,Point,106.944333,47.904157,Ерөнхий боловсролын сургууль,"БЗД 26-р хороо, Нийслэл хүрээ өргөн чөлөө, 204 байр",2017,Глобал ОУ сургууль,,1,2017,Глобал ОУ сургууль
5237,,,Point,106.941179,47.917015,Ерөнхий боловсролын сургууль,БЗД 15-р хороо 13-р хороолол 7Б байр,2017,Номч нахиа сургууль,,,2013,Номч нахиа сургууль
5238,,,Point,106.942999,47.909409,Ерөнхий боловсролын сургууль,"БЗД 25-р хороо, 16-р байр",,Гёте сургууль,,1,,Гёте сургууль
5239,,,Point,106.885132,47.966336,Ерөнхий боловсролын сургууль,"ЧД 16-р хороо, Согоотын 65-р гудамж",2016,139-р бага сургууль,139,1,2016,139-р бага сургууль
5240,,,Point,106.879656,47.991043,Ерөнхий боловсролын сургууль,"ЧД 17-р хороо, Зүрх уул 4-р гудамж",2016,140-р бага сургуль,140,1,2016,140-р бага сургуль
5241,,,Point,106.866511,47.91696,Ерөнхий боловсролын сургууль,"БГД 6-р хороо, ЭТӨЧ",1985,Эрдмийн өргөө ЦС 43-р сургууль,43,2,1985,Эрдмийн өргөө ЦС 43-р сургууль
5242,,,Point,106.938692,47.989303,Ерөнхий боловсролын сургууль,"СБД 17-р хороо, Дамбадаржаагийн гудамж",2015,Эрдмийн хөтөч ЦС /58 сургууль/,58,3,2015,Эрдмийн хөтөч ЦС /58 сургууль/
5243,,,Point,106.922478,47.926676,Ерөнхий боловсролын сургууль,"СБД 8 -р хороо, Ж.Батмөнхийн гудамж",2018,Хаан эрдэм сургууль,,,1996,Хаан эрдэм сургууль
5244,,,Point,106.922064,47.925119,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, Бага тойруу",1963-2013,ШУТИС харьяа ШУТАСургууль,,1,1954,ШУТИС харьяа ШУТАСургууль
5245,,,Point,106.920936,47.923922,Ерөнхий боловсролын сургууль,"СБД 6-р хороо, Бага тойруу",,Күнз бага сургууль,,,2002,Күнз бага сургууль
5246,,,Point,106.92293,47.915537,Ерөнхий боловсролын сургууль,"СБД 1-р хороо, Элчингийн гудамж",2015,АШУҮИС харьяа ЕБсургууль,,1,,АШУҮИС харьяа ЕБсургууль
5247,,,Point,106.900494,47.907271,Ерөнхий боловсролын сургууль,"БГД 3-р хороо, Нарны хороолол",2018,141-р сургууль,,1,2017,141-р сургууль
5248,,,Point,106.8637,47.920265,Ерөнхий боловсролын сургууль,"БГД 7-р хороо,Ард Аюушийн өргөн чөлөө 93/3",,93-р сургууль,,3,2015,93-р сургууль
5249,,,Point,106.868327,47.924484,Ерөнхий боловсролын сургууль,"БГД 13-р хороо,Хасбаатарын гудамж С13/2",,13-р сургууль,,2,2001,13-р сургууль
5250,,,Point,106.883575,47.926743,Ерөнхий боловсролын сургууль,"БГД 11-р хороо,Хасбаатарын гудамж С28/3",,28-р сургууль,,3,2003,28-р сургууль
5251,,,Point,106.884834,47.926926,Ерөнхий боловсролын сургууль,"БГД 11-р хороо,Хасбаатарын гудамж С28/2",,28-р сургууль,,2,1990,28-р сургууль
5252,,,Point,106.887904,47.929898,Ерөнхий боловсролын сургууль,"БГД 11-р хороо,Хувьсгалын зам С46/2",,Сэтгэмж ЦС 46-р сургууль,,2,2012,Сэтгэмж ЦС /46-р сургууль/
5253,,,Point,106.889815,47.917709,Ерөнхий боловсролын сургууль,"БГД 17-р хороо,С.Амарсанаагийн гудамж",,Норовлин сургууль,,1,,Норовлин сургууль
5254,,,Point,106.792775,47.90767,Ерөнхий боловсролын сургууль,"БГД 20-р хороо,Товчооны зам С19",,19-р сургууль,,2,2012,19-р сургууль
5255,,,Point,106.866442,47.913155,Ерөнхий боловсролын сургууль,"БГД 5-р хороо,Энхтайваны өргөн чөлөө",,Номуун далай сургууль,,1,,Номуун далай сургууль
5256,,,Point,106.924801,47.927053,Ерөнхий боловсролын сургууль,"СБД 7-р хороо, Ж.Батмөнхийн гудамж С2, 11-р хороолол",,2-р сургууль,,2,2015,2-р сургууль
5257,,,Point,106.910402,47.913717,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Сөүлийн гудамж 8",,Өсвөрийн зохион бүтээгчдийн сургууль,,2,,Өсвөрийн зохион бүтээгчдийн сургууль
5258,,,Point,106.903235,47.910884,Ерөнхий боловсролын сургууль,"СБД 3-р хороо, Усны гудамж 38",,Монгол-Оросын хамтарсан сургууль,,2,2017,Монгол-Оросын хамтарсан сургууль
5259,,,Point,106.902897,47.914059,Ерөнхий боловсролын сургууль,"СБД 4-р хороо, Намнансүрэнгийн гудамж С45",,45-р сургууль,,2,1982,45-р сургууль
5260,,,Point,106.918319,47.964934,Ерөнхий боловсролын сургууль,"СБД 14-р хороо, Санзайн зам С35/3",,35-р сургууль,,2,2011,35-р сургууль
5261,,,Point,106.934449,47.977794,Ерөнхий боловсролын сургууль,"СБД 15-р хороо, Дамбадаржаагийн гудамж С58",,Эрдмийн хөтөч ЦС /58-р сургууль/,,2,2001,Эрдмийн хөтөч ЦС /58-р сургууль/
5262,,,Point,106.821305,47.932509,Ерөнхий боловсролын сургууль,"СХД 6-р хороо, Баянхошууны гудамж Ханын материалын эцэс С9/1",,9-р сургууль,,2,2003,9-р сургууль
5263,,,Point,106.813719,47.91318,Ерөнхий боловсролын сургууль,"СХД 18-р хороо, Үйлдвэрчний эвлэлийн гудамж С12",,12-р сургууль,,2,2012,12-р сургууль
5264,,,Point,106.814422,47.919193,Ерөнхий боловсролын сургууль,"СХД 19-р хороо, Үйлдвэрчний эвлэлийн гудамж С62",,62-р сургууль,,2,2001,62-р сургууль
5265,,,Point,106.795006,47.921249,Ерөнхий боловсролын сургууль,"СХД 3-р хороо, Толгойтын гудамж С65",,65-р сургууль,,2,2000,65-р сургууль
5266,,,Point,106.826845,47.952995,Ерөнхий боловсролын сургууль,"СХД 8-р хороо, Баянхошууны гудамж С67/1",,67-р сургууль,,2,2003,67-р сургууль
5267,,,Point,106.838779,47.956727,Ерөнхий боловсролын сургууль,"СХД 9-р хороо, Баянхошууны гудамж С76/1",,76-р сургууль,,2,2002,76-р сургууль
5268,,,Point,106.83136,47.967104,Ерөнхий боловсролын сургууль,"СХД 25-р хороо, Зүүн салаа С104/1",,104-р сургууль,,2,2018,104-р сургууль
5269,,,Point,106.848312,47.954519,Ерөнхий боловсролын сургууль,"СХД 11-р хороо, Хувьсгалын зам С105/1",,105-р сургууль,,2,2003,105-р сургууль
